@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
998,'2017/11/20 19:24:50:771',2,0.15748,0.834646,1,0.227349,0
999,'2017/11/20 19:24:50:791',2,0.149606,0.834646,1,0.227349,0
1000,'2017/11/20 19:24:50:811',2,0.11811,0.834646,1,0.227349,0
1001,'2017/11/20 19:24:50:831',2,0.094488,0.834646,1,0.227349,0
1002,'2017/11/20 19:24:50:851',2,0.07874,0.834646,1,0.227349,0
1003,'2017/11/20 19:24:50:871',2,0.062992,0.834646,1,0.227349,0
1004,'2017/11/20 19:24:50:891',2,0.055118,0.834646,1,0.227349,0
1005,'2017/11/20 19:24:50:911',2,0.055118,0.795276,1,0.227349,0
1006,'2017/11/20 19:24:50:931',2,0.055118,0.771654,1,0.227349,0
1007,'2017/11/20 19:24:50:951',2,0.055118,0.740157,1,0.227349,0
1008,'2017/11/20 19:24:50:971',2,0.070866,0.724409,1,0.227349,0
1009,'2017/11/20 19:24:50:991',2,0.094488,0.700787,1,0.227349,0
1010,'2017/11/20 19:24:51:011',2,0.11811,0.692913,1,0.227349,0
1011,'2017/11/20 19:24:51:031',2,0.15748,0.692913,1,0.227349,0
1012,'2017/11/20 19:24:51:051',2,0.188976,0.692913,1,0.227349,0
1013,'2017/11/20 19:24:51:071',2,0.204724,0.692913,1,0.227349,0
1014,'2017/11/20 19:24:51:091',2,0.204724,0.700787,1,0.227349,0
1015,'2017/11/20 19:24:51:111',2,0.212598,0.732283,1,0.227349,0
1016,'2017/11/20 19:24:51:131',2,0.212598,0.748031,1,0.227349,0
1017,'2017/11/20 19:24:51:151',2,0.19685,0.818898,1,0.227349,0
1018,'2017/11/20 19:24:51:171',2,0.173228,0.850394,1,0.227349,0
1019,'2017/11/20 19:24:51:191',2,0.15748,0.858268,1,0.227349,0
1020,'2017/11/20 19:24:51:211',2,0.141732,0.88189,1,0.227349,0
1021,'2017/11/20 19:24:51:231',2,0.125984,0.88189,1,0.227349,0
1022,'2017/11/20 19:24:51:251',2,0.102362,0.889764,1,0.227349,0
1023,'2017/11/20 19:24:51:271',2,0.094488,0.889764,1,0.227349,0
1024,'2017/11/20 19:24:51:291',2,0.07874,0.889764,1,0.227349,0
1025,'2017/11/20 19:24:51:311',2,0.070866,0.874016,1,0.227349,0
1026,'2017/11/20 19:24:51:331',2,0.070866,0.834646,1,0.227349,0
1027,'2017/11/20 19:24:51:351',2,0.070866,0.80315,1,0.227349,0
1028,'2017/11/20 19:24:51:371',2,0.07874,0.732283,1,0.227349,0
1029,'2017/11/20 19:24:51:391',2,0.094488,0.700787,1,0.227349,0
1030,'2017/11/20 19:24:51:411',2,0.11811,0.677165,1,0.227349,0
1031,'2017/11/20 19:24:51:431',2,0.149606,0.669291,1,0.227349,0
1032,'2017/11/20 19:24:51:451',2,0.181102,0.661417,1,0.227349,0
1033,'2017/11/20 19:24:51:471',2,0.204724,0.653543,1,0.227349,0
1034,'2017/11/20 19:24:51:491',2,0.251969,0.653543,1,0.227349,0
1035,'2017/11/20 19:24:51:511',2,0.267717,0.661417,1,0.227349,0
1036,'2017/11/20 19:24:51:531',2,0.275591,0.685039,1,0.227349,0
1037,'2017/11/20 19:24:51:551',2,0.275591,0.700787,1,0.227349,0
1038,'2017/11/20 19:24:51:571',2,0.275591,0.748031,1,0.227349,0
1039,'2017/11/20 19:24:51:591',2,0.275591,0.787402,1,0.227349,0
1040,'2017/11/20 19:24:51:611',2,0.244094,0.874016,1,0.227349,0
1041,'2017/11/20 19:24:51:631',2,0.228346,0.897638,1,0.227349,0
1042,'2017/11/20 19:24:51:651',2,0.212598,0.913386,1,0.227349,0
1043,'2017/11/20 19:24:51:671',2,0.19685,0.92126,1,0.227349,0
1044,'2017/11/20 19:24:51:691',2,0.173228,0.929134,1,0.227349,0
1045,'2017/11/20 19:24:51:711',2,0.149606,0.929134,1,0.227349,0
1046,'2017/11/20 19:24:51:731',2,0.102362,0.929134,1,0.227349,0
1047,'2017/11/20 19:24:51:751',2,0.086614,0.897638,1,0.227349,0
1048,'2017/11/20 19:24:51:771',2,0.070866,0.858268,1,0.227349,0
1049,'2017/11/20 19:24:51:791',2,0.062992,0.80315,1,0.227349,0
1050,'2017/11/20 19:24:51:811',2,0.062992,0.732283,1,0.227349,0
1051,'2017/11/20 19:24:51:831',2,0.07874,0.653543,1,0.227349,0
1052,'2017/11/20 19:24:51:851',2,0.110236,0.629921,1,0.227349,0
1053,'2017/11/20 19:24:51:871',2,0.149606,0.622047,1,0.227349,0
1054,'2017/11/20 19:24:51:891',2,0.181102,0.622047,1,0.227349,0
1055,'2017/11/20 19:24:51:911',2,0.228346,0.622047,1,0.227349,0
1056,'2017/11/20 19:24:51:931',2,0.251969,0.622047,1,0.227349,0
1057,'2017/11/20 19:24:51:951',2,0.299213,0.661417,1,0.227349,0
1058,'2017/11/20 19:24:51:971',2,0.307087,0.700787,1,0.227349,0
1059,'2017/11/20 19:24:51:991',2,0.307087,0.748031,1,0.227349,0
1060,'2017/11/20 19:24:52:011',2,0.307087,0.80315,1,0.227349,0
1061,'2017/11/20 19:24:52:031',2,0.299213,0.858268,1,0.227349,0
1062,'2017/11/20 19:24:52:051',2,0.275591,0.897638,1,0.227349,0
1063,'2017/11/20 19:24:52:071',2,0.228346,0.952756,1,0.227349,0
1064,'2017/11/20 19:24:52:091',2,0.204724,0.96063,1,0.227349,0
1065,'2017/11/20 19:24:52:111',2,0.173228,0.968504,1,0.227349,0
1066,'2017/11/20 19:24:52:131',2,0.149606,0.968504,1,0.227349,0
1067,'2017/11/20 19:24:52:151',2,0.125984,0.968504,1,0.227349,0
1068,'2017/11/20 19:24:52:171',2,0.102362,0.952756,1,0.227349,0
1069,'2017/11/20 19:24:52:191',2,0.062992,0.858268,1,0.227349,0
1070,'2017/11/20 19:24:52:211',2,0.062992,0.787402,1,0.227349,0
1071,'2017/11/20 19:24:52:231',2,0.062992,0.724409,1,0.227349,0
1072,'2017/11/20 19:24:52:251',2,0.07874,0.669291,1,0.227349,0
1073,'2017/11/20 19:24:52:271',2,0.102362,0.622047,1,0.227349,0
1074,'2017/11/20 19:24:52:291',2,0.181102,0.566929,1,0.227349,0
1075,'2017/11/20 19:24:52:311',2,0.228346,0.566929,1,0.227349,0
1076,'2017/11/20 19:24:52:331',2,0.267717,0.566929,1,0.227349,0
1077,'2017/11/20 19:24:52:351',2,0.307087,0.574803,1,0.227349,0
1078,'2017/11/20 19:24:52:371',2,0.322835,0.590551,1,0.227349,0
1079,'2017/11/20 19:24:52:391',2,0.338583,0.637795,1,0.227349,0
1080,'2017/11/20 19:24:52:411',2,0.346457,0.732283,1,0.227349,0
1081,'2017/11/20 19:24:52:431',2,0.322835,0.80315,1,0.227349,0
1082,'2017/11/20 19:24:52:451',2,0.299213,0.858268,1,0.227349,0
1083,'2017/11/20 19:24:52:471',2,0.267717,0.905512,1,0.227349,0
1084,'2017/11/20 19:24:52:491',2,0.23622,0.929134,1,0.227349,0
1085,'2017/11/20 19:24:52:511',2,0.204724,0.944882,1,0.227349,0
1086,'2017/11/20 19:24:52:531',2,0.173228,0.96063,1,0.227349,0
1087,'2017/11/20 19:24:52:551',2,0.11811,0.96063,1,0.227349,0
1088,'2017/11/20 19:24:52:571',2,0.086614,0.96063,1,0.227349,0
1089,'2017/11/20 19:24:52:591',2,0.055118,0.929134,1,0.227349,0
1090,'2017/11/20 19:24:52:611',2,0.03937,0.897638,1,0.227349,0
1091,'2017/11/20 19:24:52:631',2,0.031496,0.866142,1,0.227349,0
1092,'2017/11/20 19:24:52:651',2,0.023622,0.771654,1,0.227349,0
1093,'2017/11/20 19:24:52:671',2,0.023622,0.724409,1,0.227349,0
1094,'2017/11/20 19:24:52:691',2,0.03937,0.685039,1,0.227349,0
1095,'2017/11/20 19:24:52:711',2,0.070866,0.645669,1,0.227349,0
1096,'2017/11/20 19:24:52:731',2,0.110236,0.622047,1,0.227349,0
1097,'2017/11/20 19:24:52:751',2,0.149606,0.622047,1,0.227349,0
1098,'2017/11/20 19:24:52:771',2,0.23622,0.614173,1,0.227349,0
1099,'2017/11/20 19:24:52:791',2,0.267717,0.622047,1,0.227349,0
1100,'2017/11/20 19:24:52:811',2,0.275591,0.645669,1,0.227349,0
