@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
73,'2017/11/20 19:52:01:431',2,0.332542,0.267705,0.557164,0.109627,1
74,'2017/11/20 19:52:01:451',2,0.337436,0.271438,0.555721,0.103363,1
75,'2017/11/20 19:52:01:471',2,0.340742,0.275325,0.554121,0.097452,1
76,'2017/11/20 19:52:01:491',2,0.345557,0.280598,0.551314,0.091201,1
77,'2017/11/20 19:52:01:511',2,0.349016,0.284152,0.5488,0.088268,1
78,'2017/11/20 19:52:01:531',2,0.352167,0.287187,0.546396,0.085944,1
79,'2017/11/20 19:52:01:551',2,0.354852,0.291925,0.537562,0.08399,1
80,'2017/11/20 19:52:01:571',2,0.357177,0.292795,0.528223,0.083625,1
81,'2017/11/20 19:52:01:591',2,0.360599,0.289213,0.515715,0.087338,1
82,'2017/11/20 19:52:01:611',2,0.362385,0.280236,0.503686,0.099157,1
83,'2017/11/20 19:52:01:631',2,0.365006,0.270242,0.491599,0.119931,1
84,'2017/11/20 19:52:01:651',2,0.366979,0.263358,0.483143,0.1364,1
85,'2017/11/20 19:52:01:671',2,0.370472,0.257936,0.476557,0.150615,1
86,'2017/11/20 19:52:01:691',2,0.373821,0.249611,0.470319,0.169167,1
87,'2017/11/20 19:52:01:711',2,0.374404,0.242774,0.467613,0.182025,1
88,'2017/11/20 19:52:01:731',2,0.374936,0.235652,0.465677,0.194222,1
89,'2017/11/20 19:52:01:751',2,0.376857,0.225902,0.463456,0.210882,1
90,'2017/11/20 19:52:01:771',2,0.377301,0.218578,0.463147,0.22129,1
91,'2017/11/20 19:52:01:791',2,0.377222,0.210501,0.463749,0.231464,1
92,'2017/11/20 19:52:01:811',2,0.37692,0.202319,0.465233,0.240795,1
93,'2017/11/20 19:52:01:831',2,0.377101,0.187313,0.469975,0.25608,1
94,'2017/11/20 19:52:01:871',2,0.377959,0.179324,0.477114,0.259289,1
95,'2017/11/20 19:52:01:891',2,0.377772,0.184516,0.488369,0.241792,1
96,'2017/11/20 19:52:01:911',2,0.373594,0.193622,0.497452,0.222946,1
97,'2017/11/20 19:52:01:931',2,0.368451,0.203932,0.507653,0.203728,1
98,'2017/11/20 19:52:01:951',2,0.361798,0.218928,0.52233,0.179573,1
99,'2017/11/20 19:52:01:971',2,0.358941,0.228474,0.529473,0.165394,1
100,'2017/11/20 19:52:01:991',2,0.356106,0.235734,0.535241,0.154527,1
101,'2017/11/20 19:52:02:011',2,0.350793,0.243178,0.543887,0.142998,1
102,'2017/11/20 19:52:02:031',2,0.348621,0.247077,0.54798,0.136035,1
103,'2017/11/20 19:52:02:051',2,0.346298,0.250286,0.551656,0.129183,1
104,'2017/11/20 19:52:02:071',2,0.345908,0.254682,0.553614,0.121159,1
105,'2017/11/20 19:52:02:091',2,0.348153,0.263794,0.55454,0.106622,1
106,'2017/11/20 19:52:02:111',2,0.349731,0.269065,0.554002,0.097805,1
107,'2017/11/20 19:52:02:131',2,0.35132,0.273679,0.553176,0.090356,1
