@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
19,'2017/11/20 19:45:15:044',1,0.002959,0.03019,0.008594,0.022414,0.010343,0.014362,0.007866,0.007934,0.022614,0.011137,0.004738,0.001955,0.004387,0.00569,0.010994,0.024604,0.010327,0.003119,0.002362,0.001443,0.001573,0.001926,0.000739,0.000413,0.000171,1
20,'2017/11/20 19:45:15:044',1,0.004891,0.02797,0.012813,0.020348,0.016505,0.007877,0.00698,0.013975,0.047323,0.010593,0.004095,0.003075,0.004125,0.00467,0.008837,0.024754,0.01056,0.001824,0.001903,0.000902,0.001082,0.000939,0.001065,0.000336,0.000141,1
21,'2017/11/20 19:45:15:067',1,0.008275,0.041771,0.013317,0.012772,0.012269,0.007621,0.00567,0.017119,0.052325,0.007403,0.00257,0.00198,0.002389,0.003413,0.005671,0.014281,0.010079,0.001439,0.001515,0.000744,0.000636,0.000385,0.000531,0.000255,0.000116,1
22,'2017/11/20 19:45:15:067',1,0.008784,0.037869,0.020606,0.010121,0.01175,0.011488,0.007295,0.008012,0.037397,0.011165,0.002154,0.001976,0.002551,0.002473,0.004377,0.010951,0.008498,0.000918,0.000901,0.000606,0.000504,0.000299,0.000302,0.00023,0.000115,1
23,'2017/11/20 19:45:15:090',1,0.012953,0.023613,0.028117,0.021744,0.012974,0.00842,0.005631,0.006778,0.025153,0.011108,0.00225,0.002508,0.002756,0.00281,0.004869,0.008435,0.006426,0.000735,0.000782,0.000605,0.000401,0.000244,0.000264,0.000211,0.000101,1
24,'2017/11/20 19:45:15:090',1,0.011989,0.02747,0.027026,0.011395,0.013185,0.006815,0.005162,0.008262,0.015689,0.006553,0.001323,0.001663,0.001848,0.003441,0.004493,0.005445,0.003501,0.000827,0.000692,0.000561,0.00037,0.000206,0.000229,0.000218,0.000121,1
25,'2017/11/20 19:45:15:113',1,0.006099,0.032707,0.016803,0.009955,0.011195,0.00972,0.006636,0.007642,0.006757,0.003796,0.00183,0.001544,0.001825,0.002268,0.003507,0.004116,0.002266,0.000854,0.000614,0.000503,0.000291,0.000274,0.000215,0.000191,0.000109,1
26,'2017/11/20 19:45:15:114',1,0.010519,0.047613,0.013618,0.015417,0.010311,0.008889,0.005779,0.006252,0.011478,0.003737,0.002866,0.001938,0.006522,0.002744,0.003102,0.002561,0.001911,0.001036,0.000575,0.000467,0.000294,0.000274,0.000221,0.000203,0.0001,1
27,'2017/11/20 19:45:15:137',1,0.008465,0.051419,0.017266,0.01629,0.016083,0.005827,0.010076,0.006481,0.015986,0.007977,0.00306,0.00293,0.018674,0.005915,0.003953,0.003276,0.005254,0.002361,0.000937,0.000537,0.000413,0.000303,0.000221,0.000203,0.000107,1
28,'2017/11/20 19:45:15:137',1,0.009697,0.032461,0.018082,0.012704,0.017461,0.010253,0.008764,0.006556,0.015068,0.005323,0.003128,0.004116,0.014133,0.003933,0.003692,0.002404,0.004057,0.002053,0.000849,0.000581,0.000401,0.000284,0.000201,0.000232,0.000112,1
29,'2017/11/20 19:45:15:160',1,0.01169,0.02981,0.014825,0.019919,0.007291,0.010692,0.007772,0.007551,0.022528,0.00658,0.002476,0.002925,0.007205,0.003597,0.003301,0.002215,0.002221,0.00094,0.000742,0.000776,0.000347,0.000241,0.000244,0.000235,0.000114,1
30,'2017/11/20 19:45:15:160',1,0.007204,0.018704,0.032657,0.014051,0.008008,0.011414,0.00808,0.004546,0.013159,0.007493,0.001897,0.003261,0.007633,0.003328,0.00326,0.001445,0.001744,0.000753,0.000619,0.000621,0.000335,0.000248,0.000228,0.000222,0.000108,1
31,'2017/11/20 19:45:15:183',1,0.002725,0.017379,0.041306,0.015145,0.009902,0.005817,0.006799,0.007105,0.015042,0.005683,0.002315,0.002642,0.006499,0.002587,0.003965,0.001232,0.001255,0.000719,0.000626,0.000536,0.000333,0.000215,0.000221,0.000198,0.000106,1
32,'2017/11/20 19:45:15:183',1,0.00581,0.02194,0.024812,0.013754,0.008107,0.009742,0.004275,0.006813,0.009545,0.004068,0.001924,0.001655,0.003652,0.003315,0.004064,0.001357,0.001175,0.000758,0.000445,0.000501,0.000388,0.000255,0.000226,0.000211,0.000112,1
33,'2017/11/20 19:45:15:206',1,0.007206,0.027747,0.024295,0.010873,0.010239,0.009363,0.004116,0.003766,0.0032,0.004122,0.001869,0.002012,0.002524,0.002821,0.003994,0.001118,0.000902,0.000784,0.000349,0.000563,0.000335,0.000235,0.000212,0.000201,0.000106,1
34,'2017/11/20 19:45:15:206',1,0.00822,0.017501,0.026386,0.021286,0.006944,0.003666,0.003644,0.003555,0.002032,0.002516,0.002337,0.001888,0.001326,0.002596,0.003859,0.000968,0.000844,0.000702,0.000407,0.0005,0.000362,0.000212,0.000198,0.000185,0.000102,1
35,'2017/11/20 19:45:15:229',1,0.005183,0.015,0.017446,0.02269,0.005428,0.004408,0.004039,0.003642,0.002024,0.001521,0.002636,0.001969,0.001622,0.002731,0.003899,0.001026,0.000849,0.000814,0.00048,0.00049,0.00035,0.000237,0.000204,0.000183,0.000127,1
36,'2017/11/20 19:45:15:229',1,0.003677,0.023013,0.021324,0.011893,0.006251,0.006428,0.005541,0.004446,0.002578,0.002436,0.001316,0.002031,0.002188,0.002222,0.003662,0.001153,0.000794,0.000746,0.000411,0.000667,0.000309,0.000259,0.000216,0.000195,0.00012,1
